Date,Region,Product,Sales,Revenue,Profit,Quantity
2025-01-01,North America,Cloud Engine Enterprise,47,264375,118969,47
2025-01-02,EMEA,Cyber Shield Suite,38,68400,23940,38
2025-01-03,APAC,AI Analytics Pro,22,70400,31680,22
2025-01-04,LATAM,Data Mesh Core,47,84600,38070,47
2025-01-05,North America,Cloud Engine Enterprise,28,126000,56700,28
2025-01-07,EMEA,Cyber Shield Suite,16,28800,10080,16
2025-01-08,APAC,AI Analytics Pro,48,153600,69120,48
2025-01-09,LATAM,Data Mesh Core,22,39600,17820,22
2025-01-10,North America,Cloud Engine Enterprise,46,207000,93150,46
2025-01-11,EMEA,Cyber Shield Suite,50,90000,31500,50
2025-01-13,APAC,AI Analytics Pro,13,41600,18720,13
2025-01-14,LATAM,Data Mesh Core,31,55800,25110,31
2025-01-15,North America,Cloud Engine Enterprise,41,230625,103781,41
2025-01-16,EMEA,Cyber Shield Suite,40,72000,25200,40
2025-01-17,APAC,AI Analytics Pro,33,105600,47520,33
2025-01-19,LATAM,Data Mesh Core,7,12600,5670,7
2025-01-20,North America,Cloud Engine Enterprise,29,130500,58725,29
2025-01-21,EMEA,Cyber Shield Suite,8,14400,5040,8
2025-01-22,APAC,AI Analytics Pro,31,99200,44640,31
2025-01-23,LATAM,Data Mesh Core,8,14400,6480,8
2025-01-25,North America,Cloud Engine Enterprise,24,108000,48600,24
2025-01-26,EMEA,Cyber Shield Suite,22,39600,13860,22
2025-01-27,APAC,AI Analytics Pro,9,28800,12960,9
2025-01-28,LATAM,Data Mesh Core,11,19800,8910,11
2025-01-29,North America,Cloud Engine Enterprise,32,180000,81000,32
2025-01-31,EMEA,Cyber Shield Suite,26,46800,16380,26
2025-02-01,APAC,AI Analytics Pro,43,137600,61920,43
2025-02-02,LATAM,Data Mesh Core,38,68400,30780,38
2025-02-03,North America,Cloud Engine Enterprise,9,40500,18225,9
2025-02-04,EMEA,Cyber Shield Suite,47,84600,29610,47
2025-02-06,APAC,AI Analytics Pro,37,118400,53280,37
2025-02-07,LATAM,Data Mesh Core,31,55800,25110,31
2025-02-08,North America,Cloud Engine Enterprise,39,175500,78975,39
2025-02-09,EMEA,Cyber Shield Suite,21,37800,13230,21
2025-02-10,APAC,AI Analytics Pro,27,86400,38880,27
2025-02-12,LATAM,Data Mesh Core,30,54000,24300,30
2025-02-13,North America,Cloud Engine Enterprise,19,106875,48094,19
2025-02-14,EMEA,Cyber Shield Suite,18,32400,11340,18
2025-02-15,APAC,AI Analytics Pro,13,41600,18720,13
2025-02-16,LATAM,Data Mesh Core,31,55800,25110,31
2025-02-18,North America,Cloud Engine Enterprise,26,117000,52650,26
2025-02-19,EMEA,Cyber Shield Suite,34,61200,21420,34
2025-02-20,APAC,AI Analytics Pro,42,134400,60480,42
2025-02-21,LATAM,Data Mesh Core,41,73800,33210,41
2025-02-22,North America,Cloud Engine Enterprise,9,40500,18225,9
2025-02-24,EMEA,Cyber Shield Suite,47,84600,29610,47
