Plant,Energy_Output,Downtime,Efficiency,Maintenance_Cost,Carbon_Emission
Solar Array Alpha,2918,14,84.7,52964,12
Wind Farm Horizon,3223,16,92.1,64928,12
Hydro Dam Apex,4544,33,81.3,105310,9
Thermal Station Core,6449,3,95.7,24254,859
Solar Array Alpha,3359,22,89.2,64776,1
Wind Farm Horizon,5513,22,91.3,70799,13
Hydro Dam Apex,5083,12,82.3,55807,14
Thermal Station Core,3973,2,82.1,21946,781
Solar Array Alpha,5804,9,88.2,36748,6
Wind Farm Horizon,5808,7,94.2,44328,4
Hydro Dam Apex,5709,29,94.7,90309,2
Thermal Station Core,4056,1,90.1,17161,921
Solar Array Alpha,2698,9,83.5,49373,3
Wind Farm Horizon,4725,18,80.2,68560,4
Hydro Dam Apex,2551,2,89.8,20595,1
Thermal Station Core,3728,35,92.8,106918,730
Solar Array Alpha,4852,8,90,29255,12
Wind Farm Horizon,812,14,92.4,44037,11
Hydro Dam Apex,2341,3,87.9,34365,6
Thermal Station Core,1114,32,79.5,93686,477
Solar Array Alpha,4559,33,90.4,93531,6
Wind Farm Horizon,2206,4,79,23415,4
Hydro Dam Apex,1204,18,93.9,51669,10
Thermal Station Core,3926,28,81.9,92143,533
Solar Array Alpha,3527,30,90.4,80175,4
Wind Farm Horizon,3052,33,89.2,107776,8
Hydro Dam Apex,5018,34,82.5,90781,13
Thermal Station Core,827,11,94,51385,764
Solar Array Alpha,2586,21,88.3,73881,4
Wind Farm Horizon,2957,29,83.6,90006,8
Hydro Dam Apex,1396,21,84.5,77399,15
Thermal Station Core,5726,8,93.6,34121,1044
Solar Array Alpha,2152,27,83.7,85731,12
Wind Farm Horizon,6107,33,83.3,98784,3
Hydro Dam Apex,4817,34,82.4,92197,3
Thermal Station Core,4830,21,93.6,73095,825
Solar Array Alpha,4322,28,78.9,87424,3
Wind Farm Horizon,6026,26,86.1,83865,3
Hydro Dam Apex,4802,1,89.6,20721,6
Thermal Station Core,1493,33,94.8,99915,1117
Solar Array Alpha,3675,27,80.2,86700,1
Wind Farm Horizon,2263,3,80.8,17981,11
Hydro Dam Apex,4413,14,95.9,50992,3
Thermal Station Core,4482,12,86.8,50080,952
Solar Array Alpha,3060,28,95.8,96448,11
Wind Farm Horizon,2027,5,85.9,26718,1
Hydro Dam Apex,5339,11,90,37169,8
Thermal Station Core,3668,29,90.9,79646,822
Solar Array Alpha,1937,3,82.3,27356,11
Wind Farm Horizon,5176,13,90.8,49092,2
Hydro Dam Apex,2545,35,86.2,93680,3
Thermal Station Core,1216,22,90.6,74027,1130
Solar Array Alpha,4424,30,83.1,82943,6
Wind Farm Horizon,5645,22,86.1,67436,5
Hydro Dam Apex,5575,4,90.2,35744,8
Thermal Station Core,2511,10,92,34127,463
Solar Array Alpha,1104,24,84,70361,10
Wind Farm Horizon,6181,16,84,51676,7
Hydro Dam Apex,6323,20,80.6,66507,7
Thermal Station Core,5097,21,82.1,79104,484
Solar Array Alpha,1030,28,80.9,96406,9
Wind Farm Horizon,5949,3,84.3,33800,11
Hydro Dam Apex,5296,24,89,82516,8
Thermal Station Core,3162,18,87,69512,462
Solar Array Alpha,5310,10,94.4,43205,2
Wind Farm Horizon,1902,24,80.8,81454,9
Hydro Dam Apex,5232,7,90.1,35005,4
Thermal Station Core,4796,9,79.3,47397,588
Solar Array Alpha,6384,31,93.4,99087,4
Wind Farm Horizon,4145,27,86.6,92499,6
Hydro Dam Apex,5892,3,79,35125,10
Thermal Station Core,1309,10,84.4,36226,880
Solar Array Alpha,6142,33,89,104704,2
Wind Farm Horizon,6103,13,91.3,51809,0
Hydro Dam Apex,5315,32,85.1,87903,8
Thermal Station Core,1571,33,87.3,96077,1083
Solar Array Alpha,6399,21,83.2,72689,8
Wind Farm Horizon,3396,28,82.1,96484,5
Hydro Dam Apex,6092,11,84.1,45170,9
Thermal Station Core,4050,21,80.1,74067,539
Solar Array Alpha,5284,21,85.7,60370,10
Wind Farm Horizon,4105,33,88,102510,3
Hydro Dam Apex,4776,25,94.6,80162,4
Thermal Station Core,6442,5,91.1,41134,1169
Solar Array Alpha,5928,9,88,46326,5
Wind Farm Horizon,1852,31,82.7,91597,6
Hydro Dam Apex,1512,15,81.7,47466,10
Thermal Station Core,4922,17,81.9,55912,764
Solar Array Alpha,1236,26,81.4,87061,10
Wind Farm Horizon,5091,18,88.3,62952,15
Hydro Dam Apex,2961,31,81.7,83006,4
Thermal Station Core,4426,23,84.6,65159,934
Solar Array Alpha,2303,24,89,74596,6
Wind Farm Horizon,3893,35,83.6,96240,6
Hydro Dam Apex,1149,25,86.6,71170,7
Thermal Station Core,837,18,95.4,72135,570
Solar Array Alpha,1949,2,90.7,18069,15
Wind Farm Horizon,4590,20,86.4,77985,1
Hydro Dam Apex,879,13,81.4,47441,6
Thermal Station Core,3324,17,87.7,48940,844
Solar Array Alpha,3968,3,82.7,20962,12
Wind Farm Horizon,4521,17,81.5,65850,8
Hydro Dam Apex,1475,31,85.1,90134,9
Thermal Station Core,3421,18,82.4,66391,578
Solar Array Alpha,5926,23,81.4,83509,1
Wind Farm Horizon,4225,10,94.7,38498,3
Hydro Dam Apex,4665,25,90.3,87095,4
Thermal Station Core,4798,20,84.8,60135,684
Solar Array Alpha,5374,20,82.8,58581,13
Wind Farm Horizon,6252,33,82.9,92977,10
Hydro Dam Apex,3844,2,92.8,15787,3
Thermal Station Core,1431,34,87.3,90757,963
Solar Array Alpha,3611,33,95.5,102910,12
Wind Farm Horizon,940,27,88,93827,0
Hydro Dam Apex,1829,25,84.2,76453,3
Thermal Station Core,3249,24,93.3,86806,526
Solar Array Alpha,5560,28,80.1,89703,9
Wind Farm Horizon,4397,11,87,47285,10
Hydro Dam Apex,3969,24,90.5,85798,15
Thermal Station Core,950,22,85.4,71438,717
Solar Array Alpha,3729,30,81.5,87201,7
Wind Farm Horizon,5050,26,79.6,91396,14
Hydro Dam Apex,5010,26,91.4,80137,3
Thermal Station Core,1725,25,89.2,83404,1139
Solar Array Alpha,4657,36,80.9,102555,4
Wind Farm Horizon,3186,4,93.5,29212,14
Hydro Dam Apex,5114,21,80.3,75632,6
Thermal Station Core,1187,16,80.4,62751,646
Solar Array Alpha,2694,13,93.4,60472,7
Wind Farm Horizon,4330,5,82.3,25421,5
Hydro Dam Apex,4674,7,81.1,29597,4
Thermal Station Core,3620,20,87.4,66981,570
Solar Array Alpha,3615,20,79,71482,4
Wind Farm Horizon,2140,24,95.2,75685,4
Hydro Dam Apex,6043,17,92.7,57156,11
Thermal Station Core,2250,18,85.8,58981,908
Solar Array Alpha,1098,22,81.6,71690,5
Wind Farm Horizon,6062,4,81.3,34767,6
Hydro Dam Apex,3511,30,88.5,95387,3
Thermal Station Core,2500,26,95.7,78418,630
Solar Array Alpha,5796,15,79.4,63864,10
Wind Farm Horizon,5620,31,94.8,100169,1
Hydro Dam Apex,3719,12,82,42842,12
Thermal Station Core,6411,25,90.9,89701,972
Solar Array Alpha,3204,34,87,91546,6
Wind Farm Horizon,6371,22,95.5,61710,0
Hydro Dam Apex,6403,19,88.8,75091,10
Thermal Station Core,5422,6,79,40602,879
Solar Array Alpha,4234,28,90,77979,2
Wind Farm Horizon,2626,24,84,82304,11
Hydro Dam Apex,2088,14,90.7,54902,5
Thermal Station Core,5180,26,88.3,86336,555
Solar Array Alpha,2747,16,94.4,56437,11
Wind Farm Horizon,2579,23,85.3,75157,12
Hydro Dam Apex,5846,2,92.2,27847,13
Thermal Station Core,2776,23,93,83080,1067
Solar Array Alpha,2367,23,92.4,65725,7
Wind Farm Horizon,5972,13,94,60880,7
Hydro Dam Apex,1378,2,90.1,28491,8
Thermal Station Core,3806,19,93.6,74262,891
Solar Array Alpha,4906,15,90.1,46537,10
Wind Farm Horizon,1028,29,82,89450,10
Hydro Dam Apex,5814,26,95.7,72236,9
Thermal Station Core,6325,9,79.2,39066,1184
Solar Array Alpha,4231,10,89.5,52882,11
Wind Farm Horizon,5946,10,78.7,33339,12
Hydro Dam Apex,5087,20,89.8,60901,9
Thermal Station Core,4889,11,91.6,49235,1097
Solar Array Alpha,1822,34,95.2,103619,13
Wind Farm Horizon,2833,9,78.7,32560,7
Hydro Dam Apex,1228,25,80.4,85336,8
Thermal Station Core,4284,33,81.2,89077,473
Solar Array Alpha,3418,31,79.9,100460,8
Wind Farm Horizon,4766,16,87.3,60561,5
Hydro Dam Apex,6416,7,88.5,28033,9
Thermal Station Core,1611,27,78.6,83460,1129
Solar Array Alpha,3749,7,86.3,42283,9
Wind Farm Horizon,6121,17,81.1,57236,12
Hydro Dam Apex,5814,20,81.2,60997,8
Thermal Station Core,2882,7,90.5,26554,527
Solar Array Alpha,6110,20,87.8,63642,8
Wind Farm Horizon,5440,20,86.8,66140,3
Hydro Dam Apex,3513,9,85.8,33001,10
Thermal Station Core,3794,30,94.3,90216,1019
Solar Array Alpha,1751,13,87.1,44210,12
Wind Farm Horizon,2286,12,79.1,47819,12
Hydro Dam Apex,4243,15,84.8,64162,12
Thermal Station Core,4279,30,81.1,91212,688
