Date,Region,Product,Sales,Revenue,Profit,Quantity
2022-01-01,North America,Cloud Engine,94,141000,56400,94
2022-01-01,EMEA,AI Analytics,48,72000,28800,48
2022-01-01,APAC,Cyber Shield,23,34500,13800,23
2022-01-02,LATAM,Data Mesh,77,115500,46200,77
2022-01-02,North America,Cloud Engine,56,84000,33600,56
2022-01-02,EMEA,AI Analytics,49,73500,29400,49
2022-01-03,APAC,Cyber Shield,38,57000,22800,38
2022-01-03,LATAM,Data Mesh,20,30000,12000,20
2022-01-03,North America,Cloud Engine,94,141000,56400,94
2022-01-04,EMEA,AI Analytics,15,22500,9000,15
2022-01-04,APAC,Cyber Shield,56,84000,33600,56
2022-01-04,LATAM,Data Mesh,27,40500,16200,27
2022-01-05,North America,Cloud Engine,66,99000,39600,66
2022-01-05,EMEA,AI Analytics,33,49500,19800,33
2022-01-05,APAC,Cyber Shield,55,82500,33000,55
2022-01-06,LATAM,Data Mesh,94,141000,56400,94
2022-01-06,North America,Cloud Engine,22,33000,13200,22
2022-01-06,EMEA,AI Analytics,92,138000,55200,92
2022-01-07,APAC,Cyber Shield,60,90000,36000,60
2022-01-07,LATAM,Data Mesh,32,48000,19200,32
2022-01-07,North America,Cloud Engine,16,24000,9600,16
2022-01-08,EMEA,AI Analytics,23,34500,13800,23
2022-01-08,APAC,Cyber Shield,80,120000,48000,80
2022-01-08,LATAM,Data Mesh,46,69000,27600,46
2022-01-09,North America,Cloud Engine,16,24000,9600,16
2022-01-09,EMEA,AI Analytics,89,133500,53400,89
2022-01-09,APAC,Cyber Shield,54,81000,32400,54
2022-01-10,LATAM,Data Mesh,66,99000,39600,66
2022-01-10,North America,Cloud Engine,5,7500,3000,5
2022-01-10,EMEA,AI Analytics,58,87000,34800,58
2022-01-11,APAC,Cyber Shield,76,114000,45600,76
2022-01-11,LATAM,Data Mesh,72,108000,43200,72
2022-01-11,North America,Cloud Engine,7,10500,4200,7
2022-01-12,EMEA,AI Analytics,30,45000,18000,30
2022-01-12,APAC,Cyber Shield,61,91500,36600,61
2022-01-12,LATAM,Data Mesh,33,49500,19800,33
2022-01-13,North America,Cloud Engine,93,139500,55800,93
2022-01-13,EMEA,AI Analytics,77,115500,46200,77
2022-01-13,APAC,Cyber Shield,47,70500,28200,47
2022-01-14,LATAM,Data Mesh,15,22500,9000,15
2022-01-14,North America,Cloud Engine,92,138000,55200,92
2022-01-14,EMEA,AI Analytics,63,94500,37800,63
2022-01-15,APAC,Cyber Shield,54,81000,32400,54
2022-01-15,LATAM,Data Mesh,36,54000,21600,36
2022-01-15,North America,Cloud Engine,5,7500,3000,5
2022-01-16,EMEA,AI Analytics,15,22500,9000,15
