Date,Region,Product,Sales,Revenue,Profit,Quantity
2026-01-01,North America,Cloud Engine,10,45000,18000,10
2026-01-02,EMEA,AI Analytics,12,38400,13440,12
2026-01-03,APAC,Cyber Shield,8,14400,6480,8
2026-01-04,LATAM,Data Mesh,15,27000,12150,15
2026-01-05,North America,Cloud Engine,18,81000,32400,18
2026-01-06,EMEA,AI Analytics,14,44800,15680,14
2026-01-07,APAC,Cyber Shield,20,36000,16200,20
2026-01-08,LATAM,Data Mesh,9,16200,7290,9
2026-01-09,North America,Cloud Engine,22,99000,39600,22
2026-01-10,EMEA,AI Analytics,11,35200,12320,11
2026-01-11,APAC,Cyber Shield,16,28800,12960,16
2026-01-12,LATAM,Data Mesh,13,23400,10530,13
