Shipment_ID,Route,Delivery_Time,Fuel_Cost,Delayed,Distance
SHP-2001,Corridor Beta (EU-UK),21.4,2214,0,938
SHP-2002,Pacific Route (US-JP),66.9,10734,1,3566
SHP-2003,Trans-Asia Air,49.8,9020,0,2977
SHP-2004,Corridor Alpha (US-MX),62.7,5518,1,2904
SHP-2005,Corridor Beta (EU-UK),83.2,11403,1,4303
SHP-2006,Pacific Route (US-JP),65.7,9001,1,4073
SHP-2007,Trans-Asia Air,19.2,1614,1,664
SHP-2008,Corridor Alpha (US-MX),28.8,2095,0,1027
SHP-2009,Corridor Beta (EU-UK),32.2,1442,0,596
SHP-2010,Pacific Route (US-JP),41.9,3042,0,1491
SHP-2011,Trans-Asia Air,44.8,6538,0,2395
SHP-2012,Corridor Alpha (US-MX),91.7,12404,1,4663
SHP-2013,Corridor Beta (EU-UK),51.9,5356,0,2006
SHP-2014,Pacific Route (US-JP),50.2,7123,1,2678
SHP-2015,Trans-Asia Air,87.4,12160,1,4122
SHP-2016,Corridor Alpha (US-MX),22.2,2910,0,1311
SHP-2017,Corridor Beta (EU-UK),77.6,12459,1,4006
SHP-2018,Pacific Route (US-JP),20.8,2989,0,1027
SHP-2019,Trans-Asia Air,51.8,6725,0,2779
SHP-2020,Corridor Alpha (US-MX),49.9,5471,0,2593
SHP-2021,Corridor Beta (EU-UK),36.7,4441,1,1798
SHP-2022,Pacific Route (US-JP),74.1,10404,1,4624
SHP-2023,Trans-Asia Air,49.3,5507,0,2426
SHP-2024,Corridor Alpha (US-MX),29.1,3572,0,1501
SHP-2025,Corridor Beta (EU-UK),30.8,4817,0,1804
SHP-2026,Pacific Route (US-JP),23.6,1490,0,556
SHP-2027,Trans-Asia Air,54.5,6415,0,3412
SHP-2028,Corridor Alpha (US-MX),76.8,9552,1,4082
SHP-2029,Corridor Beta (EU-UK),20,1646,0,648
SHP-2030,Pacific Route (US-JP),77.7,11021,1,3555
SHP-2031,Trans-Asia Air,51,6570,0,3056
SHP-2032,Corridor Alpha (US-MX),60.2,7487,1,3652
SHP-2033,Corridor Beta (EU-UK),76.5,8464,1,3413
SHP-2034,Pacific Route (US-JP),17.2,1080,0,532
SHP-2035,Trans-Asia Air,16.7,1167,1,501
SHP-2036,Corridor Alpha (US-MX),14.8,813,0,442
SHP-2037,Corridor Beta (EU-UK),41.2,6891,0,2418
SHP-2038,Pacific Route (US-JP),73.6,6510,1,3223
SHP-2039,Trans-Asia Air,34.8,3056,0,961
SHP-2040,Corridor Alpha (US-MX),65.4,9668,1,3733
SHP-2041,Corridor Beta (EU-UK),77.2,8893,1,3721
SHP-2042,Pacific Route (US-JP),69.2,8670,1,3721
SHP-2043,Trans-Asia Air,25,3895,0,1498
SHP-2044,Corridor Alpha (US-MX),40.1,2707,0,1045
SHP-2045,Corridor Beta (EU-UK),55.8,6171,0,2196
SHP-2046,Pacific Route (US-JP),31.6,3608,0,1404
SHP-2047,Trans-Asia Air,46.6,6621,0,2638
SHP-2048,Corridor Alpha (US-MX),78.5,12834,1,4519
SHP-2049,Corridor Beta (EU-UK),41.8,3513,1,1224
SHP-2050,Pacific Route (US-JP),52.8,5210,0,2004
SHP-2051,Trans-Asia Air,56,7941,0,2537
SHP-2052,Corridor Alpha (US-MX),64.3,8016,1,2947
SHP-2053,Corridor Beta (EU-UK),15.9,1751,0,646
SHP-2054,Pacific Route (US-JP),65.8,7106,1,3760
SHP-2055,Trans-Asia Air,41.8,3148,0,1290
SHP-2056,Corridor Alpha (US-MX),29,2131,1,715
SHP-2057,Corridor Beta (EU-UK),70.3,6213,1,3138
SHP-2058,Pacific Route (US-JP),73.6,8999,1,4522
SHP-2059,Trans-Asia Air,40.4,3172,0,1327
SHP-2060,Corridor Alpha (US-MX),59,6828,0,3380
SHP-2061,Corridor Beta (EU-UK),46.7,6388,0,2515
SHP-2062,Pacific Route (US-JP),39.3,4553,0,2422
SHP-2063,Trans-Asia Air,19.5,1222,1,487
SHP-2064,Corridor Alpha (US-MX),76.3,9905,1,4762
SHP-2065,Corridor Beta (EU-UK),63.2,7444,1,2809
SHP-2066,Pacific Route (US-JP),29.9,2704,0,969
SHP-2067,Trans-Asia Air,23.5,1519,0,487
SHP-2068,Corridor Alpha (US-MX),51.6,6150,0,2510
SHP-2069,Corridor Beta (EU-UK),34.1,4488,0,1632
SHP-2070,Pacific Route (US-JP),93,9742,1,4617
SHP-2071,Trans-Asia Air,51.6,4655,0,2316
SHP-2072,Corridor Alpha (US-MX),56.8,9150,0,3040
SHP-2073,Corridor Beta (EU-UK),25.2,1970,0,791
SHP-2074,Pacific Route (US-JP),65.7,10290,1,3688
SHP-2075,Trans-Asia Air,11.3,1290,0,407
SHP-2076,Corridor Alpha (US-MX),56.6,6485,0,2447
SHP-2077,Corridor Beta (EU-UK),90,9140,1,4616
SHP-2078,Pacific Route (US-JP),39.3,3987,0,1711
SHP-2079,Trans-Asia Air,78.6,9894,1,3611
SHP-2080,Corridor Alpha (US-MX),50,6418,0,2663
SHP-2081,Corridor Beta (EU-UK),32.8,1628,0,636
SHP-2082,Pacific Route (US-JP),37.3,3166,0,1515
SHP-2083,Trans-Asia Air,56.5,9101,0,2955
SHP-2084,Corridor Alpha (US-MX),37.9,5055,1,1879
SHP-2085,Corridor Beta (EU-UK),79,12234,1,3835
SHP-2086,Pacific Route (US-JP),27,1866,0,977
SHP-2087,Trans-Asia Air,34.6,6629,0,2118
SHP-2088,Corridor Alpha (US-MX),60.2,7273,1,3135
SHP-2089,Corridor Beta (EU-UK),44.5,5812,0,1851
SHP-2090,Pacific Route (US-JP),53,6869,0,3053
SHP-2091,Trans-Asia Air,51.9,5035,1,2530
SHP-2092,Corridor Alpha (US-MX),68.9,9892,1,4021
SHP-2093,Corridor Beta (EU-UK),28.4,2820,0,1064
SHP-2094,Pacific Route (US-JP),81.6,9562,1,4781
SHP-2095,Trans-Asia Air,36.1,3067,0,1305
SHP-2096,Corridor Alpha (US-MX),59.6,7952,0,3286
SHP-2097,Corridor Beta (EU-UK),47.2,7056,0,2291
SHP-2098,Pacific Route (US-JP),71.3,6470,1,3203
SHP-2099,Trans-Asia Air,16.6,1972,0,626
SHP-2100,Corridor Alpha (US-MX),59.1,5721,0,3126
SHP-2101,Corridor Beta (EU-UK),69.1,7903,1,3063
SHP-2102,Pacific Route (US-JP),37.3,5204,0,1776
SHP-2103,Trans-Asia Air,69.5,8501,1,3347
SHP-2104,Corridor Alpha (US-MX),55.9,4272,0,2074
SHP-2105,Corridor Beta (EU-UK),24.6,2079,1,1077
SHP-2106,Pacific Route (US-JP),72.6,9643,1,3225
SHP-2107,Trans-Asia Air,78.9,14975,1,4739
SHP-2108,Corridor Alpha (US-MX),35.2,1714,0,790
SHP-2109,Corridor Beta (EU-UK),37.8,3534,0,1349
SHP-2110,Pacific Route (US-JP),40.5,4897,0,1855
SHP-2111,Trans-Asia Air,78.2,9947,1,3916
SHP-2112,Corridor Alpha (US-MX),79.8,14412,1,4664
SHP-2113,Corridor Beta (EU-UK),86.6,9431,1,4326
SHP-2114,Pacific Route (US-JP),68.8,9596,1,3949
SHP-2115,Trans-Asia Air,57.7,5707,0,2320
SHP-2116,Corridor Alpha (US-MX),48.7,6290,0,2711
SHP-2117,Corridor Beta (EU-UK),28.5,3178,0,1070
SHP-2118,Pacific Route (US-JP),49.6,5538,0,2377
SHP-2119,Trans-Asia Air,11.4,999,1,543
SHP-2120,Corridor Alpha (US-MX),9.6,905,0,431
SHP-2121,Corridor Beta (EU-UK),25.1,2185,0,721
SHP-2122,Pacific Route (US-JP),79.8,8613,1,4082
SHP-2123,Trans-Asia Air,29.4,1926,0,678
SHP-2124,Corridor Alpha (US-MX),36.9,4067,0,1946
SHP-2125,Corridor Beta (EU-UK),21,2394,0,907
SHP-2126,Pacific Route (US-JP),52.3,4782,1,1905
SHP-2127,Trans-Asia Air,56.5,4934,0,2696
SHP-2128,Corridor Alpha (US-MX),28.9,2409,0,1229
SHP-2129,Corridor Beta (EU-UK),85.3,12277,1,4633
SHP-2130,Pacific Route (US-JP),80.3,14908,1,4763
SHP-2131,Trans-Asia Air,84.8,11382,1,4279
SHP-2132,Corridor Alpha (US-MX),82,9506,1,4225
SHP-2133,Corridor Beta (EU-UK),71,12243,1,3962
SHP-2134,Pacific Route (US-JP),72.7,10386,1,3297
SHP-2135,Trans-Asia Air,35.6,3350,0,1340
SHP-2136,Corridor Alpha (US-MX),45.8,6673,0,2132
SHP-2137,Corridor Beta (EU-UK),37.8,6225,0,2068
SHP-2138,Pacific Route (US-JP),41.6,6794,0,2311
SHP-2139,Trans-Asia Air,49.6,7271,0,3094
SHP-2140,Corridor Alpha (US-MX),49.2,4622,1,2160
SHP-2141,Corridor Beta (EU-UK),37.7,5716,0,1803
SHP-2142,Pacific Route (US-JP),52.4,5708,0,2883
SHP-2143,Trans-Asia Air,41.8,6521,0,2131
SHP-2144,Corridor Alpha (US-MX),83.6,9338,1,4132
SHP-2145,Corridor Beta (EU-UK),41.7,3839,0,1737
SHP-2146,Pacific Route (US-JP),19.2,1496,0,796
SHP-2147,Trans-Asia Air,69.1,9187,1,3844
SHP-2148,Corridor Alpha (US-MX),42.1,3646,0,1565
SHP-2149,Corridor Beta (EU-UK),64.9,7135,1,2787
SHP-2150,Pacific Route (US-JP),44.2,6933,0,2677
SHP-2151,Trans-Asia Air,64.8,7126,1,3563
SHP-2152,Corridor Alpha (US-MX),46.5,4069,0,1724
SHP-2153,Corridor Beta (EU-UK),77.1,7722,1,3842
SHP-2154,Pacific Route (US-JP),33.4,1700,1,939
SHP-2155,Trans-Asia Air,47.5,5396,0,2306
SHP-2156,Corridor Alpha (US-MX),82.4,10214,1,3990
SHP-2157,Corridor Beta (EU-UK),62.9,10351,1,3439
SHP-2158,Pacific Route (US-JP),56,7925,0,2861
SHP-2159,Trans-Asia Air,30.8,2264,0,765
SHP-2160,Corridor Alpha (US-MX),72.5,8040,1,3542
SHP-2161,Corridor Beta (EU-UK),8.4,1218,1,417
SHP-2162,Pacific Route (US-JP),45.2,5471,0,2096
SHP-2163,Trans-Asia Air,31.5,1231,0,552
SHP-2164,Corridor Alpha (US-MX),48.8,5895,0,2330
SHP-2165,Corridor Beta (EU-UK),60.4,11291,1,3666
SHP-2166,Pacific Route (US-JP),45.9,3419,0,1684
SHP-2167,Trans-Asia Air,88.6,9610,1,4781
SHP-2168,Corridor Alpha (US-MX),76.2,8308,1,3975
SHP-2169,Corridor Beta (EU-UK),58.3,4535,0,2362
SHP-2170,Pacific Route (US-JP),23.1,1641,0,723
SHP-2171,Trans-Asia Air,17.8,2435,0,834
SHP-2172,Corridor Alpha (US-MX),27.8,1603,0,700
SHP-2173,Corridor Beta (EU-UK),75.4,9855,1,4248
SHP-2174,Pacific Route (US-JP),37.5,4493,0,1790
SHP-2175,Trans-Asia Air,18.4,1474,1,544
SHP-2176,Corridor Alpha (US-MX),56.7,6559,0,3231
SHP-2177,Corridor Beta (EU-UK),35.2,4586,0,1895
SHP-2178,Pacific Route (US-JP),87,10811,1,4680
SHP-2179,Trans-Asia Air,37,4631,0,1690
SHP-2180,Corridor Alpha (US-MX),82.2,9212,1,4629
SHP-2181,Corridor Beta (EU-UK),82.7,8517,1,3943
SHP-2182,Pacific Route (US-JP),25.1,3008,1,1110
SHP-2183,Trans-Asia Air,69.6,8776,1,4199
